Endorser,State Prop 14,State Prop 15,State Prop 16,State Prop 17,State Prop 18,State Prop 19,State Prop 20,State Prop 21,State Prop 22,State Prop 23,State Prop 24,State Prop 25,Measure A,Measure B,Measure C,Measure D,Measure E,Measure F,Measure G,Measure H,Measure I,Measure J,Measure K,Measure L,Measure RR
League of Pissed Off Voters,no,yes,yes,yes,yes,yes,no,yes,no,yes,no,no,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes
SPUR,no,yes,yes,yes,yes,yes,no,no,no,no,-,yes,yes,no,yes,yes,yes,yes,yes,yes,no,yes,yes,-,yes
indivisible,-,yes,yes,yes,yes,no,no,yes,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,-,yes,yes,yes,yes,yes
SF Berniecrats,-,yes,yes,yes,yes,-,no,yes,no,yes,-,-,-,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes
League of Women Voters,-,yes,yes,yes,yes,no,no,-,-,-,no,yes,yes,-,yes,yes,yes,yes,yes,yes,yes,yes,yes,-,yes
Courage California,-,yes,yes,yes,yes,no,no,yes,no,yes,no,yes,-,-,-,-,-,-,-,-,-,-,-,-,-
SF Green Party,no,yes,yes,yes,yes,-,no,yes,no,yes,no,yes,no,yes,yes,yes,no,yes,yes,no,yes,no,yes,yes,no
SF Dems,yes,yes,yes,yes,yes,yes,no,yes,no,yes,-,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Milk Club,yes,yes,yes,yes,yes,-,no,yes,no,yes,-,yes,yes,yes,yes,yes,yes,yes,yes,-,yes,yes,yes,yes,yes
!corporate $$,no,yes,-,-,-,no,no,yes,no,yes,no,yes,-,-,-,-,-,-,-,-,-,-,-,-,-
!republicans,yes,yes,yes,yes,yes,-,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes